concept_id	ces	deu	ita	eng	pol	rus	nob	ukr	fra	lat
n09887034		kalkulator	calcolatore	calculator  estimator	kalkulator				calculateur calculatrice calculette estimateur	
n09231117	kaldera	caldera	caldera	caldera	kaldera	kaldera	kaldera	kal'dera	caldeira caldera	
n02939185		kessel	calderone  caldaio caldaia caldarone	caldron cauldron	kociol	kotjol		kotel	chaudiere chaudron	
n06487395	kalendar	kalender	calendario	calendar	kalendarz	kalendar			calendrier	calendarium
n15173479	kalendar	kalender	calendario	calendar	kalendarz	kalendar	kalender	kalendar	calendrier	calendarium
n11943407	mesicky	calendula	calendula  calendola	calendula		kalendula			calendula	
n01887896	tele	kalb	vitello vitella	calf	ciele	telec teljonok	kalv	telja	veau	vitellus
n05103283		kaliber	calibro	caliber calibre	kaliber	kalibr			calibre	
n09887496	chalifa kalif	kalif	califfo	calif khalif khalifah kalif kaliph caliph	kalif chalif	xalif	kalif	xalif	calife califat	calipha
n09741612	kalifornan	kalifornier kalifornierin	californiano	californian					californien	
n14633037	kalifornium	californium	californio	californium cf	kaliforn  cf	kalifornij	californium	kalifornii	californium cf	californium
n00589691	chalifat kalifat	kalifat	califfato	caliphate	kalifat	xalifat		xalifat	califat	
n02940385		callcenter call-center	call center	call center call centre	call center					
n09889065		callgirl prostituierte call girl		call girl	call-girl call girl	prostitutka			call-girl prostituee	
v01028748	pojmenovat			call name		nazyvat imenovat naimenovat nazvat	kalle		nommer denommer	nominare
n09889170	kaligrafista	kalligraph kalligraphin kalligraf kalligrafin	calligrafo	calligraphist  calligrapher	kaligraf kaligrafista	kalligraf		kaligraf	calligraphe	
n06403969	kaligrafie	kalligraphie	calligrafia	calligraphy	kaligrafia	kalligrafija	kalligrafi	kaligrafiia	calligraphie	
n12233410		calluna	calluna	calluna	wrzos calluna	veresk			callune calluna	
n14950937	kalomel		calomelano	calomel	kalomel	kalomel			calomel	
n13726296	kalorie	kalorie	caloria	calorie	kaloria cal	kalorija			calorie	
n13726562	kilokalorie	kalorie  kilokalorie kilogrammkalorie	chilocaloria	calorie kilocalorie	kaloria kilokaloria		kalori		calorie kilocalorie	
a01248605	kaloricky termicky	thermischa kalorisch thermisch kalorien-	termico  calorico termale calorifica calorifico	calorific		teplovoi		teplovoiu teplovii teplovoyi	calorique thermal calorifique	
n02941095	kalorimetr	kalorimeter	calorimetro	calorimeter	kalorymetr	kalorimetr		kalorimetr	calorimetre	
n01001814	kalorimetrie	kalorimetrie	calorimetria	calorimetry	kalorymetria				calorimetrie	
n06301445	kalk		calco	calque	kalka	kalka			calque	
n02941408		kalumet  friedenspfeife calumet	calumet	calumet	kalumet		fredspipe		calumet	
n07903643	calvados	calvados	calvados	calvados	calvados	kal'vados	calvados	kal'vados	calvados	calvados
n06229853	kalvinismus kalvinizmus	kalvinismus calvinismus	calvinismo	calvinism	kalwinizm	kal'vinizm	kalvinisme	kal'vinizm	calvinisme	
a02952975	kalvinsky	calvinistisch kalvinistisch		calvinist  calvinistical calvinistic	kalwinistyczny kalwinski				calviniste	
n11691523	kalich	calyx	calice	calyx	kielich				calice	
n11764478	gayamochil camachile manilsky tamarind	guamochil pithecellobium dulce	guamachil pithecellobium dulce	camachile pithecellobium dulce manila tamarind huamachil	pithecellobium dulce				pithecellobium dulce	
n02942349	videokamera	camcorder  videokamera	videocamera	camcorder	kamkorder	videokamera		videokamera		
n02437136	velbloud	kamel	cammello	camel	wielblad	verbljud	kamel	verbljud	camelus chameau	camelus camela
n12929403	kamelie	kamelie	camelia	camellia camelia	kamelia	kamelija		kameliia	camellia camelia	camellia
n02437482			camelus bactrianus cammello	camelus bactrianus bactrian camel	baktrian	baktrian	kamel baktriakamel	baktrian	camelus bactrianus chameau de bactriane	camelus bactrianus
n02437312	dromedar	dromedar	camelus dromedarius dromedario	camelus dromedarius dromedary	dromader	dromedar  dromader	dromedar	dromader	camelus dromedarius dromedary dromadaire	dromedaria
n07852833		camembert	camembert	camembert	camembert kamamber				camembert	
n02942577	medailon kamej	kamee camee	cammeo cameo	cameo	kamea	kameja		kameia	medaillon  cameo camee	
n02942699	fotoaparat	kamera fotoapparat	macchina fotografica fotocamera apparecchio fotografico	camera	aparat fotograficzny	fotoapparat	kamera	fotoaparat	appareil photographique	
n09889539	kameraman	kameramann kameraoperateur kamerafrau	operatore cineoperatore cameraman	camera operator  cameraman	operator kamerzysta	kinooperator			cameraman cameraman	
n09696456		kamerunerin  kameruner		cameroonian	kamerunczyk	kamerunec kamerunka			camerounais	
n02944579		camo	camo	camo camouflage	camo	kamufljaz			camo camouflage	
n11949402	hermanek	kamille	camomilla	camomile anthemis nobilis chamomile	rumianek	romaska	kamomille	romaska	camomille anthemis nobilis	camomilla chamomilla
n08246185	camorra	camorra	camorra	camorra	kamorra camorra kamora				camorra	
n02945594		kolonie campingplatz lager		camp	kolonia kolonie	kemping kolonija	camping campingplass leir	koloniia	camper camp	
n00968155	kampan	kampagne	campagna	campaign	kampania	kampanija			campagne	
n02946127	kampanila			campanile	campanile campanila kampanila				campanile	
n12036939			campanula campanella	campanula	kampanula				campanule campanula campanules	
n11911274	campanulales	campanulales campanulatae	campanulales campanulatae	campanulales order campanulales	campanulales campanulatae				campanulales	
n14790979	kafr	kampfer  campher	canfora	camphor	kamfora	kamfora kamfara	kamfer	kamfora	camphre	camphora
n01055165	kempink	camping	accampamento	camping encampment		kemping	camping		camping	
n08518374	kampus	campus	campus	campus	campus kampus	kampus		kampus	campus	
a02982473		kanadisch		canadian	kanadyjski	kanadskij		kanadskyj kanadijskyj	canadien	canadensis
n09696585		kanadier kanadierin	canadese	canadian		kanadec kanadka		kanadijka kanadijec kanadec kanadka	canadien	canadensis
n02947212	kanal	kanal	canale	canal		kanal		kanal	canal	
n07581607		kanapee	canape	canape		kanape		kanapa	canape	
n01533339	kanarek kanar		canarino	canary	kanarek	kanarejka			canari	
n10091012	agent provokater	agent provocateur provokateur	agente provocatore	canary fink	prowokator	provokator		provokator	canari fink	
n00497060	kanasta	canasta	canasta	canasta	kanasta	kanasta			canasta	
n12511488	kanavalie mecovita	canavalia gladiata	canavalia gladiata	canavalia gladiata	canavalia gladiata				canavalia gladiata	
n14603143		canavanin	canavanina	canavanine	canavanine				l-canavanine canavanine	
n00531077	kankan	cancan	cancan	cancan	kankan	kankan		kankan	cancan cancans	
n14242922	leukemie  leukemie	leukamie	leucemia	cancer of the blood leukaemia leukemia leucaemia	leucaemia cancer of the blood leukemia	lejkemija	leukemi	leikemiia	leucemie	leuchaemia  leucaemia
n02947818		kandelaber	candelabro	candelabra candelabrum	kandelabr	kandeljabr kandeliabr			candelabres candelabrum candelabre	candelabrum
n13079419	kandida	candida	candida	candida	candida				candida	
n00799537	kandidatura	kandidatur		candidature	kandydatura	kandidatura	kandidatur	kandidatura	candidature	
n14181713	moniliaza  kandidoza	kandidose candidiasis	candidiasi candidosi	candidiasis moniliasis	kandydiaza kandydoza moniliaza				candidoses candidose	
n02948072	svice svicka		candela	candle	swieca swieczka	sveca svecka		svicka	chandelle	candela
n02083038	psoviti	canidae	canidae	canidae	psowate				canides canidae	
n02115096	sakal	schakal	canis aureus sciacallo	canis aureus jackal	szakal	sakal	sjakal	shakal	canis aureus chacal	canis aureus
n02084071	pes	hund hundin	canis familiaris cane	canis familiaris	pies	sobaka pjos	hund	pes sobaka	canis familiaris chien	canis
n02083863	canis	canis	canis	canis genus canis	canis				canis	
n02114855	kojot	kojote	coyote canis latrans coiote	canis latrans coyote	kujot kojot	kojot		koiot	canis latrans coyote	
n02114367	vlk canis lupus canis mexicanus	wolf	lupi  lupo canis lupus canis mexicanus	canis lupus	wilk canis lupus canis mexicanus	volk	ulv	vovk	loup  canis lupus	lupus
n02949691	konopi marihuana	cannabis marihuana	erba marijuana	cannabis  marihuana ganja marijuana	marycha marihuana gandzia trawa	marixuana konoplja		maryxuana konoplja	cannabis  herbe marijuana	cannabis
n07863547		cannelloni	cannelloni	cannelloni	cannelloni				cannellonis cannelloni	
n00412839	kanibalismus	kannibalismus	cannibalismo	cannibalism	kanibalizm	kannibalizm			cannibalisme	
n02951170	kanyla	kanule	cannula	cannula	kaniula	kaniulia		kaniulia	canule cannula	
n02951358	kanoe	kanu	canoa	canoe	kanoe  kanu kajak	kanoe			canoe canot kayak canoes	
n09891470	kanoista kajakar	kanute kanutin	canoista	canoeist	kajakarz	baidarochnik		baidarochnik	canoeiste	
n07042862		kanon	canone	canon	kanon	kanon			chanoine	
n09233446	kanon		canyon	canon  canyon	kanion	kanon	canyon	kanjon	chanoine canyon	
n01040390	kanonizace	kanonisation	canonizzazione	canonisation canonization	kanonizacja	kanonizatsiia  beatifikatsiia		kanonizatsiia  beatifikatsiia	canonisation	
a01501619	melodicky	melodisch	canore	canorous	melodyjny	melodicnyj		melodiinii melodichnii		
n07755929		kantalupe	cantalupo	cantaloupe cantaloup	kantalupa  kantalup	kantalupa			cantaloup	
n07042249	kantata oratorium	kantate oratorium	cantata  oratorio	cantata  oratorio	oratorium kantata	kantata	kantate	kantata	cantate oratorio	cantata
n13004160		cantharellus	cantharellus	cantharellus		lisicka	kantarell	lisichka	cantharellus  chanterelle	
n02944826	tabor	lager	campo accampamento campeggiamento accantonamento	cantonment encampment camp		lager		tabir	camper camp	
n15006258	kaucuk  guma	gummi kautschuk	caucciu	caoutchouc	guma kauczuk	kaucuk		huma kaucuk	caoutchouc  gomme	gummis
a01384572	siroky prostorny		ampio capace	capacious	szeroki	prostornui sirokij prostornyi prostornyj		prostorii	ample	capax amplus
n02955247	kondenzator	kondensator	condensatore condensatore elettrico	capacitor capacitance condenser	kondensator elektryczny kondensator	kondensator	kondensator	kondensator	capacite condensateur	condensatrum
n02955767		cape	cappa mantello kappa mantella	cape mantle					cape cap manteau	cappa
n09233715	mys	kap	capo	cape ness		mys	nes		cape cap ness	
n05425910	kapilara	kapillare	capillare	capillary	kapilara kapilary	kapilljar				
n13353607	kapital	kapital	capitale	capital		kapital	kapital		capital	
n02956247		kapitell	capitello	capital  cap chapiter	kapitel	kapitel			capitale capital	
n00093006			capitalizzazione	capitalisation capitalization	kapitalizowanie kapitalizacja				capitalisation	
n08364143	kapitalismus  kapitalizmus	kapitalismus	capitalismo	capitalism	kapitalizm	kapitalizm	kapitalisme	kapitalizm	capitalisme	capitalismus
n09609232	kapitalista	kapitalist	capitalista	capitalist	kapitalista	kapitalist			capitaliste	
a03000110	kapitalisticky	kapitalistisch		capitalist capitalistic	kapitalistyczny	kapitalisticeskij			capitaliste	
a02678218	kapitularni			capitular capitulary	kapitulny kapitularny kapitularz				capitulaire	
v01117812	kapitulovat	kapitulieren		capitulate	kapitulowac	kapitulirovat	kapitulere		capituler	
n01962788		capiz	capiz	capiz placuna placenta			capiz		capiz  placuna placenta	
n02541257		lodde kapelan	capelin	caplin capelan capelin	kapelan		lodde		capelan	
n09892410	kapodastr	capodaster kapodaster	capotasto	capo	kapodaster		capo		capodastre	
n01792530	kapoun	kapaun	cappone	capon	kaplon	kaplun			chapon	capo
n11864602	capparidaceae	capparaceae capparidaceae	capparidaceae capparaceae	capparidaceae					capparacees capparidaceae capparaceae	
n07920349	kapucino cappuccino	cappuccino	cappuccino	cappuccino	cappuccino				cappuccino	
n02417070	capra hircus koza koza domaci	capra hircus	capra hircus	capra hircus	koza koza domowa				capra hircus chevre	capra
n12671157		caprifoliaceae	caprifoliaceae	caprifoliaceae					caprifoliaceae caprifoliacees	caprifoliaceae
n01835276	lelek		caprimulgo	caprimulgid	kozodoj lelek	kozodoj			caprimulgides  caprimulgidae	carpimulgus
n15032829	kapsaicin	capsaicin	capsaicina	capsaicin	kapsaicyna				capsaicine	
n12902021	capsicum minimum	capsicum minimum capsicum frutescens	capsicum minimum capsicum frutescens	capsicum frutescens	capsicum minimum capsicum frutescens				capsicum frutescens	
n05317191		kapsel	cassula capsula	capsule		kapsula			capsule	
n02957586	kapsle	kapsel	cassula capsula	capsule	kapsulka	kapsula			capsule	
n02957755			cassula capsula	capsule	kapsulka kapsula				capsule	
n09893191	kapitan		capitano	captain	kapitan	kapitan			capitaine	
n05538625	hlava	haupt kopf	capo testa	caput head	glowa	golova	knopp	holova	tete	caput
n02365480	kapybara	capybara	capibara hydrochoerus hydrochaeris capivara	capybara  hydrochoerus hydrochaeris capibara	kapibara	kapibara		kapibara	capybara capibara hydrochoerus hydrochaeris	
n09825750	mechanik	mechaniker mechanikerin	meccanico	car-mechanic mechanic		mexanik			mecanicien mecano	
n02408817	buvoli ricni bubalus vodni buvoli carabao	bubalina buffel bubalus carabao	bubalina bubalus carabao bufali	carabao	bubalina bawoly rzeczne bubalus carabao				bubalus bubalina buffle	
n02960690	karabina karabinka	karabinerhaken karabiner		carabiner  karabiner	karabinek	karabin		karabin		
n02127678	karakal	caracal  karakal	caracal  lynx caracal	caracal  lynx caracal	karakal	karakal		karakal	caracal	
n07746551	karambola	sternfrucht	carambola	carambola star fruit	karambola	karambola	stjernefrukt		carambolier carambole	
n07601809	karamel	caramel karamell	caramello	caramel	karmelek	karamel		karamel	caramel	calamus
n12588780	karisa	carissa  karanda	carissa  caranda	caranday caranda copernicia alba	carissa				copernicia alba	
n01443831	karas		carassio carassius carassius	carassius vulgaris carassius carassius	karas	karas		karas'	carassius carassius	
n13723577		karat	carato	carat	karat	karat			carat	
n08427629	karavana	karawane	carovana	caravan train	karawana	karavan			train caravane	
n02961035	karavansaraj	karawanserei	caravanserraglio	caravanserai caravan inn khan caravansary	karawanseraj	karavansaraj	karavaneserai		caravanserail khan	
n14792550	karbid	karbid	carburo	carbide		karbid			carbure	
n02961451	karabina	karabiner	carabina	carbine	karabinek karabinczyk	karabin	karabin		carabine	
n09893746	karabinier	karabinier carabiniers	carabiniere	carbineer  carabineer	karabinier				carabinier	
n14633206			carbonio	carbon c	c		karbon		charbon carbone	carbonium
n13443370	karbonizace	karbonisierung karbonisieren  verkohlung	carbonizzazione	carbonization carbonisation	karbonizowanie karbonizacja				carbonisation	
n14799476		karborund carborundum	carborundo carborundum	carborundum	karborund				carborundum _ carborundum	
a02679653	karboxylovy	carboxyl-	carbossilico	carboxylic carboxyl	karboksylow karboksylowy		karboksyl-		carboxylique	carboxylicum
n02962200	karburator	vergaser	carburatore	carburettor carburetor	karburator	karbjurator	forgasser	karbiurator	carburateur	
n01758757		aase	carcassa carcame	carcase carcass	tusza carcass	tuska tusa	carcass kadaver		cadavre carcass carcasse	
n14793812	karcinogen	karzinogen	cancerogeno	carcinogen	kancerogen karcynogen	kancerogen		kantserogen	cancerogene carcinogene cancerigene	
a02679858	karcinogenni	karzinogen kanzerogen karzinogenese		carcinogenic	kancerogenny	kancerogennyj		kantserogenna kantserogenne kantserogennii	carcinogene cancerigene	
n14242337	karcinom	karzinom	carcinoma	carcinoma	rak	rak kartsinoma		kartsinoma	caranome carcinome	
n02962545	karta	karte	carta	card			kort	karty	carte	
n06793426	plakat	plakat	poster affiche cartello cartellone	card  poster placard	plakat afisz	plakat afisa			affiche placard	
n07822323	kardamon	kardamom	cardamomo	cardamon cardamum cardamom	kardamon	kardamon		kardamon	cardamome	
n12358293		kardamom	cardamomo	cardamon elettaria cardamomum cardamom	kardamon	kardamon		kardamon	cardamome elettaria cardamomum	
n05396229	kardie		cardia cardias	cardia		kardiia		kardiia	cardia	cardia
a02843717		herz kardial		cardiac			hjerte		cardial cordial cardiaque	
n09894143	kardinal	kardinal	cardinale	cardinal	kardynal	kardinal			cardinal	
n13591586	kardinalita	kardinalitat	potenza cardinalita	cardinality			kardinalitet		puissance cardinalite	
n00832092	elektrokardiogramy	elektrokardiographie  kardiographie elektrokardiogramm	cardiografia elettrocardiografia	cardiography electrocardiography	kardiografia elektrokardiogram elektrokardiografia				electrocardiographie	
n13909632	kardioida kardioda	kardioide	cardioide	cardioid	kardioida	kardioida			cardioide	
n09894445	kardiolog	kardiologe kardiologin	cardiologo	cardiologist	kardiolog	kardiolog			cardiologue	
n06047275	kardiologie	kardiologie	cardiologia	cardiology	kardiologia	kardiologija	kardiologi	kardiologiia	cardiologie	cardiologia
a02874130	kardiovaskularni	kardiovaskular kardiovaskular		cardiovascular		serdecno-sosudistyj		sertsevo-sudinnii	cardiovasculaire	
n11944569		distel  carduus	carduus cardo	carduus genus carduus	carduus	certopolox	tistel	cortopolox	carduus	carduus
n00413086	karierismus	karrierismus	carrierismo	careerism		kar'erizm		kar'ierizm	carrierisme	
n09895222	karierista	karrierist karrieristin	carrierista	careerist		karjerist karjeristka			carrieriste	
n12151814		seggen carex	carice	carex		osoka		osoka	carex	carex
n02433925		rentier	caribu renna rangifer tarandus	caribou rangifer tarandus reindeer	renifer ren		rein reinsdyr		rangifer tarandus renne reindeer caribou	
n12373100	papaja	carica papaya  papaya papau	carica papaya	carica papaya papaia  papaya pawpaw	papaja				carica papaya  papaye	carica papaya
n09896170	karikaturista	karikaturist karikaturenzeichner karikaturistin	caricaturista	caricaturist	karykaturzysta	karikaturist karikaturistka	karikaturtegner		caricaturiste	
n13444513		karies	carie	caries		karijes	karies		carie	
n11771924	carissa grandiflora	carissa grandiflora carissa macrocarpa	carissa grandiflora carissa macrocarpa	carissa grandiflora carissa macrocarpa	carissa grandiflora carissa macrocarpa				carissa macrocarpa	
n04963449	karmin		carminio	carmine cardinal	karmin	karmin			cardinal carmin	
n00223983	masakr	massaker massenmord	macello carnaio massacro	carnage massacre	zmasakrowac masakrowac		massemord		massacre massacrer carnage	
n00511555	karneval	karneval	carnevale	carnival	karnawal	karnaval		karnaval	carnaval	
n14669677		carnotit	carnotite	carnotite	karnotyt	karnotit		karnotit	carnotite	
a02680723	karolina karolina	karolin caroline	carolina	carolean caroline	karolina carolina		karoline		caroline	carolina carola
n14720962	karotenoid	carotinoid	carotenoide	carotenoid	karotenoid				carotenoide	
n15090535	karoten  karotin	carotine karotin carotin	carotina carotene	carotin carotene	karoten				carotene	
n01439514	kapr	karpfen		carp	karp	karp			carpe	carpa
n11677743	pestik	karpell	carpello	carpel		pestik			carpelle	carpellum
n12286581		carpinus	carpinus	carpinus  genus carpinus	carpinus				carpinus	
n02285052	carpocapsa grapholitha laspeyresia grapholita	cydia carpocapsa grapholitha laspeyresia grapholita	cydia carpocapsa grapholitha laspeyresia grapholita	carpocapsa	cydia carpocapsa grapholitha laspeyresia grapholita				cydia carpocapsa grapholitha laspeyresia grapholita	
n02968210	karaka		caracca	carrack carack	karraka karaka				caraque	
n12937678	mrkev	karotte		carrot		morkva morkov morkovka		morkva	carotte daucus	carota daucum
n02966193		karussell		carrousel carousel	karuzela	karusel		karusel	carrousel	
n11945930		carthamus	carthamus	carthamus genus carthamus	carthamus				carthame  carthamus	
a02445863	chrupavcity		cartilaginoso cartilagineo	cartilaginous		khriashchevoi khriashchevatyi		khriashchevii khriashchovii khriashcheva	cartilagineux	
n09898215	kartograf	kartograf kartograph kartographin kartografin	cartografo	cartographer	kartograf	kartograf		kartograf	cartographe	
a02681881	kartograficky	kartografisch kartographisch		cartographic cartographical	kartograficzny	kartograficeskij	kartografisk		cartographique	
n00924579	kartografie	kartographie kartografie	cartografia	cartography	mapografia kartografia	kartografiia	kartografi	kartografiia	cartographie	
n09898346	karikaturista	karikaturist karikaturistin cartoonistin cartoonist karikaturenzeichner	cartonista cartoonist	cartoonist	karykaturzysta	karikaturist karikaturistka		karikaturist	cartooniste	
n02971473	kartus	kartusche	cartoccio	cartouch cartouche	kartusz	kartus			cartouche	
n12319687		carya	carya	carya genus carya	carya				carya	
n02974348	karyatida	karyatide	cariatide	caryatid	kariatyda				cariatide cariatyde	
n12373526		caryocar	caryocar	caryocar genus caryocar	caryocar				caryocar	
n12586867		caryota	caryota	caryota	kariota				caryota caryote	
n08628141		kasba kasbah	casba qasba	casbah kasbah	kasaba kasba kazba				kasbah casbah	
n02975412				case		navolocka  navolochnyi navoloka		navoloka navolochka	cas	
n02976350	okno	fenster	finestra	casement	okno	okno		vikno	fenetre casemate	fenestra
n13259199	cash flow cashflow	cash flow cashflow cash-flow	cash flow	cash flow	cash flow				cash flow	
n02977936	kasino	kasino	casino	casino	kasyno	kazino		kazyno	casino	
n14761578		mandiok		cassava  manioc manioca	kassawa	manioka maniok maniot			manioc	
n02978881	kazeta	tonkassette  videokassette kassette audiokassette	musicassetta audiocassetta cassetta	cassette	kaseta	kasseta	bandkassett kassett musikkassett		cassette	
n12499439	senna alata	cassia alata senna alata	cassia alata senna alata	cassia alata senna alata	cassia alata senna alata				senna alata	
n12499757		cassia auriculata avaram	cassia auriculata  avaram	cassia auriculata  avaram senna auriculata	cassia auriculata				senna auriculata	
n00491713	kasino	cassino	cassino	cassino casino	cassino		cassino		casino	
n14669927	kasiterit	kassiterit	cassiterite	cassiterite	kasyteryt	kassiterit		kasiterit	cassiterite	
n01519563	kasuar	kasuar	casoario casuario	cassowary	kazuar	kazuar	kasuarer		casoar	
n12263204	kastan sladky	kastanie castanea sativa marone	castanea sativa castagno	castanea sativa	kasztan jadalny				castanea sativa chataigne marron chatain	
n12264254		castanopsis	castanopsis	castanopsis genus castanopsis	castanopsis				castanopsis	
n08306047	kasta	kaste	casta	caste		kasta			caste	
n06967185	kastilsky kastilstina	spanisch kastilianisch kastilisch	castigliano  spagnolo	castilian	kastylijski hiszpanski	ispanskij	spansk		castillane  espagnol castillan	
n02980441		schloss	castello	castle	zamek	zamok	slott	zamok	chateau	castrum castellum
n00397010		reinigen	espurgazione	castration expurgation		cistka ocistka		ochistka chistka	castration expurgation	
n12224522		casuarinaceae	casuarinaceae	casuarinaceae	casuarinaceae				casuarinaceae casuarinacees	
n02121620	kocka	kater katze	gatto	cat	kot	koska kot	katt	kit kiska	chat	cattus
a00109782	katabaticky	katabatisch	catabatico	catabatic katabatic					catabatique	
n07102034		katachresis katachrese	catacresi	catachresis	abusio katachreza	katakhreza	katakrese	katakhreza	catachrese	abusio
a00587193	katastroficky	katastrophal katastrophen-	cataclismo  catastrofale catastrofica catastrofico	cataclysmic cataclysmal	katastrofalny				cataclysmique	
n02981024	katakomby	katakombe	catacomba	catacomb	katakumba katakumby	katakomby	katakombe	katakomba	catacombe	
n02981198	katafalk	katafalk	catafalco	catafalque	katafalk	katafalk		katafalk	catafalque	
n09900284		katalane katalanin	catalano	catalan		katalonka katalonec			catalan	
n06967529	katalansky	katalanisch	catalano	catalan		katalonskij jazyk  katalonskij katalanskij		katalanska  katalanska mova	catalan	catalana
n14737639	katalaza	katalase catalase	catalasi	catalase	katalaza				catalase	
n14070206	katalepticky katalepsie	katalepsie kataleptisch	catalessia catalessi	catalepsy	katalepsja				catalepsie	catalepsis  catalepsia
n06487897		katalog	catalogo	catalog catalogue	katalog	katalog			catalogue	
n06416206	katalog	liste	catalogo	catalog catalogue	katalogowac lista katalog	katalog	katalog		catalogue	
n12814643	katalpa	catalpa	catalpa	catalpa	katalpa				catalpa	
n13444131	katalyza	katalyse	catalisi	catalysis	kataliza	kataliz	katalyse		catalyse	
a03054409	katalyticky	katalytisch	catalitico	catalytic	katalityczny	kataliticheskii		katalitichnii	catalytique	
v00267519	katalyzovat	katalyse katalysieren	catalizzare	catalyze catalyse	katalizowac	katalizirovat			catalyser	
n02981792	katamaran	katamaran	catamarano	catamaran	katamaran	katamaran	katamaran		catamaran	
n13513747	menstruace	regel periode menstruation	regola mestruazione	catamenia period menses menstruum menstruation	period menstruacja	menstruacija	menstruasjon	menstruatsiia	catamenia periode menstruation	menses menstruatio
n09237918	katarakt	katarakt	cataratta	cataract	katarakta				cataracte	
n14254570	katarakta	katarakt	cataratta cateratta	cataract	katarakta	katarakta			cataracte	
n14339772	katar	katarrh katarr	catarro	catarrh	katar	katar	katarr			catarrhus
r00132921	katastroficky	katastrophal katastrophale		catastrophically	katastrofalnie				catastrophiquement	
a03054551	katatonicky katatonni	katatonisch	catatonico catatatonico	catatonic	katatoniczny				catatonique	
n00887882		katechese	catechesi	catechesis	katecheza	katexizis			catechese	
a02982102	katecheticky		catechistico catechetico	catechetical catechetic	katechetyczny				cathechetique	
n15067237	katechin	catechin	catechina	catechin	katechina				catechine	
n06412771	katechizmus  katechismus	katechismus	catechismo	catechism	katechizm				catechisme	
n09901337	katecheta	katechet	catechista	catechist	katecheta				catechiste	
n14807929		katecholamine	catecolamina	catecholamine	katecholamina				catecholamine catecholamines	
n09901502	katechumen	katechumene	catecumeno	catechumen	katechumen				catechumene cathechumene	catechumenus
a01913931	kategoricky	kategorisch		categorical unconditional categoric					inconditionnel categorique categoriel	
v00657260	kategorizovat	kategorisieren	categorizzare guidare	categorise categorize	perspektywa	vid klassifitsirovat'	kategorisere perspektiv		categoriser	
n07997703	kategorie	klasse kategorie	classe famiglia categoria	category class family		kategorija klass			classe categorie famille	categoria
n01104324		gastronomie catering		catering	catering katering gastronomia	kejtering			catering	
n11598287	kata jedla	catha edulis	khat catha edulis	catha edulis	catha edulis kata jadalna				khat catha edulis	
n11772154		catharanthus	catharanthus	catharanthus genus catharanthus	catharanthus				catharanthus	
n11772408	vinca rosea	catharanthus roseus vinca rosea	catharanthus roseus vinca rosea	catharanthus roseus vinca rosea	catharanthus roseus vinca rosea				catharanthus roseus	
n06227708	albigensti	katharer	catarismo	catharism  albigensianism	kataryzm		katarer		cathares catharisme	
n02984469		katheter	catetere	catheter	kateter	kateter	kateter	kateter	catheter	catheter
n02984699	katoda	kathode	catodo	cathode	katoda	katod			cathode	
a02920951	katolicky	katholisch		catholic	katolicki				catholique	catholicus
n09679925	katolik katolicka	katholikin katholik	cattolico	catholic	katolik				catholique	
n06227263	katolictvi katolicismus	katholizismus	cattolicismo cattolicesimo	catholicity catholicism	katolicyzm  katolictwo	katolicizm	katolisisme  katolisismen	katolitstvo katolitsizm	catholicisme	
n09238294	kationt	kation	catione	cation	kation	kation	kation		cation	
n01182654	kauza	prozess	causa	causa cause case		process			cause cas proces	causa
n07326557	pricina		causale  causa	cause		pricina			cause raison	ratio causa
n00668112	vypalovani kauterizace	kauterisieren	cauterizzazione	cauterisation cautery cauterization	wypalanie kauteryzacja					
n08427918	kavalkada	kavalkade	cavalcata	cavalcade	kawalkata kawalkada	kavalkada		kaval'kada	cavalcade	
n08397856		kavallerie	cavalleria	cavalry	kawaleria konnica	konnica kavalerija			cavalerie	
n02364377		cavia	cavia cavie	cavia genus cavia	cavia				cavia	
n07799579	kaviar	kaviar	caviale	caviar caviare	kawior	cornaja ikra ikra	kaviar	ikra corna ikra	caviar	
n11441077			cbr	cbr cmbr			cbr	cbr	cbr	
a02198409	trista tri sta ccc cycocel chlorcholinchlorid	ccc chlormequat cycocel chlorcholinchlorid	ccc trecento cycocel clormequat	ccc	chloromekwat ccc cycocel trzysta	trista		trista		trecenti trecenti
n13641534	svicka kandela	candela	candela	cd candela candle	kandela cd	kandela sveca	candela	kandela	chandelle candela	
n03079230	kompaktni disk	cd	cd compact disc	cd compact disk compact disc	cd	kompakt-disk  si-di cd	cd kompakt disk	kompakt-disk	cd	
n02988486		cd-r	cd-r	cd-r	cd-r	disk cd-r	cd-r	cd-r		
n02988679	disk cd-rom cd-rom	cd-rom	cd-rom	cd-rom	dysk cd-rom cd-rom cd-r	kompakt-disk  cd-rom cd-r	cd-rom	kompakt-disk  cd-r	cd-rom	
n06940109	cebuanstina cebuano	cebuano	cebuano	cebuano cebuan	cebuano cebuanski	sebuanskij sebuano	cebuansk cebuano	sebuans'ka	cebouano cebuano	
n11623105	cedr	zeder	cedro	cedar	cedrus cedr				cedre	cedrus
n06822958	cedilla	cedille	cediglia	cedilla	cedille cedilla cedylla	sedil			cedille	
n12697152	cedrela mexicana	cedrela odorata cedrela mexicana	cedrela odorata cedrela mexicana	cedrela odorata	cedrela odorata cedrela mexicana				cedrela odorata	
n11622988		cedrus	cedrus	cedrus	cedrus				cedrus  cedre	
